"grid","EASTING","NORTHING"
"NT30",335000,605000
"NT31",335000,615000
"NT32",335000,625000
"NT33",335000,635000
"NT34",335000,645000
"NT35",335000,655000
"NT36",335000,665000
"NT37",335000,675000
"NT39",335000,695000
"NT40",345000,605000
"NT41",345000,615000
"NT42",345000,625000
"NT43",345000,635000
"NT44",345000,645000
"NT45",345000,655000
"NT46",345000,665000
"NT47",345000,675000
"NT48",345000,685000
"NT49",345000,695000
"NT50",355000,605000
"NT51",355000,615000
"NT52",355000,625000
"NT53",355000,635000
"NT54",355000,645000
"NT55",355000,655000
"NT56",355000,665000
"NT57",355000,675000
"NT58",355000,685000
"NT59",355000,695000
"NT60",365000,605000
"NT61",365000,615000
"NT62",365000,625000
"NT63",365000,635000
"NT64",365000,645000
"NT65",365000,655000
"NT66",365000,665000
"NT67",365000,675000
"NT68",365000,685000
"NT69",365000,695000
"NT70",375000,605000
"NT71",375000,615000
"NT72",375000,625000
"NT73",375000,635000
"NT74",375000,645000
"NT75",375000,655000
"NT76",375000,665000
"NT77",375000,675000
"NT80",385000,605000
"NT81",385000,615000
"NT82",385000,625000
"NT83",385000,635000
"NT84",385000,645000
"NT85",385000,655000
"NT86",385000,665000
"NT87",385000,675000
"NT90",395000,605000
"NT91",395000,615000
"NT92",395000,625000
"NT93",395000,635000
"NT94",395000,645000
"NT95",395000,655000
"NT96",395000,665000
"NU00",405000,605000
"NU01",405000,615000
"NU02",405000,625000
"NU03",405000,635000
"NU04",405000,645000
"NU05",405000,655000
"NU10",415000,605000
"NU11",415000,615000
"NU12",415000,625000
"NU13",415000,635000
"NU14",415000,645000
"NU20",425000,605000
"NU21",425000,615000
"NU22",425000,625000
"NU23",425000,635000
"NW95",195000,555000
"NW96",195000,565000
"NW97",195000,575000
"NX03",205000,535000
"NX04",205000,545000
"NX05",205000,555000
"NX06",205000,565000
"NX07",205000,575000
"NX08",205000,585000
"NX09",205000,595000
"NX13",215000,535000
"NX14",215000,545000
"NX15",215000,555000
"NX16",215000,565000
"NX17",215000,575000
"NX18",215000,585000
"NX19",215000,595000
"NX24",225000,545000
"NX25",225000,555000
"NX26",225000,565000
"NX27",225000,575000
"NX28",225000,585000
"NX29",225000,595000
"NX30",235000,505000
"NX33",235000,535000
"NX34",235000,545000
"NX35",235000,555000
"NX36",235000,565000
"NX37",235000,575000
"NX38",235000,585000
"NX39",235000,595000
"NX40",245000,505000
"NX43",245000,535000
"NX44",245000,545000
